file,size_bytes,duration_sec
balloons_l640_t035_i065_cpu.mp4,11039599,20.80
balloons_m416_t035_i065_cpu.mp4,10116054,20.80
balloons_s416_t035_i065_cpu.mp4,9611149,20.80
birds_l640_t035_i065_cpu.mp4,4491261,15.90
birds_m416_t035_i065_cpu.mp4,4473419,15.90
birds_s416_t035_i065_cpu.mp4,4544536,15.90
drone_1_l640.mp4,16119145,13.70
drone_1_l640_sample.mp4,942786,8.00
drone_1_l640_t035_i065_cpu.mp4,236130875,169.30
drone_1_m416.mp4,37729511,25.45
drone_1_m416_t035_i065_cpu.mp4,235754000,169.30
drone_1_s416.mp4,83408486,53.45
drone_1_s416_sample.mp4,942913,8.00
drone_1_s416_t035_i065_cpu.mp4,235976134,169.30
drone_2_l640_t035_i065_cpu.mp4,62603797,80.70
drone_2_m416_t035_i065_cpu.mp4,62387380,80.70
drone_2_s416_t035_i065_cpu.mp4,62717785,80.70
drone_dark_l640_t035_i065_cpu.mp4,205844930,250.90
drone_dark_m416_t035_i065_cpu.mp4,205595071,250.90
drone_dark_s416_t035_i065_cpu.mp4,205865045,250.90
drone_sunset_l640_t035_i065_cpu.mp4,72273721,95.90
drone_sunset_m416_t035_i065_cpu.mp4,71955698,95.90
drone_sunset_s416_t035_i065_cpu.mp4,72140493,95.90
fighter_plane_l640_t035_i065_cpu.mp4,7446607,32.60
fighter_plane_m416_t035_i065_cpu.mp4,7284321,32.60
fighter_plane_s416_t035_i065_cpu.mp4,7438515,32.60
